id,random ID,ResponseType,TrialNumber,Response,Group,Identifier,Points,prev_response,partner_id,partner_prev_response,partner_response,BC,DecisionType,Content,Size,Structure,Run
3,19315.0,hashtag,2,energy,10.0,h20s1,0.0,nuclear,4.0,publichealth,earthquake,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,3,tsunami,1.0,h20s1,0.0,energy,2.0,earthquake,safety,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,4,publicconcern,10.0,h20s1,0.0,tsunami,4.0,safety,nuclear,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,5,nuclear,3.0,h20s1,0.0,publicconcern,5.0,nuclear,setsuden,C,RP,Hashtag,20,Spatial,1
3,19315.0,hashtag,6,energy,5.0,h20s1,0.0,nuclear,2.0,setsuden,electricity,C,EC,Hashtag,20,Spatial,1
3,19315.0,hashtag,7,power,9.0,h20s1,0.0,energy,5.0,electricity,radiation,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,8,irradiation,6.0,h20s1,0.0,power,1.0,radiation,japannucleardisaster,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,9,explosion,2.0,h20s1,0.0,irradiation,5.0,japannucleardisaster,tsunami,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,10,coastline,1.0,h20s1,0.0,explosion,4.0,tsunami,risk,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,11,danger,4.0,h20s1,0.0,coastline,1.0,risk,tsunami,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,12,earthquake,9.0,h20s1,0.0,danger,2.0,tsunami,oceanwaste,C,EC,Hashtag,20,Spatial,1
3,19315.0,hashtag,13,pollution,2.0,h20s1,0.0,earthquake,5.0,oceanwaste,earthquake,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,14,earthquake,10.0,h20s1,1.0,pollution,5.0,earthquake,earthquake,C,RP,Hashtag,20,Spatial,1
3,19315.0,hashtag,15,electricity,1.0,h20s1,0.0,earthquake,1.0,earthquake,powerplant,C,EC,Hashtag,20,Spatial,1
3,19315.0,hashtag,16,power,8.0,h20s1,0.0,electricity,5.0,powerplant,radioactive,C,EC,Hashtag,20,Spatial,1
3,19315.0,hashtag,17,radioactive,8.0,h20s1,0.0,power,5.0,radioactive,powerplant,C,RP,Hashtag,20,Spatial,1
3,19315.0,hashtag,18,radioactive,6.0,h20s1,0.0,radioactive,1.0,powerplant,earthquake,C,RS,Hashtag,20,Spatial,1
3,19315.0,hashtag,19,tsunami,4.0,h20s1,0.0,radioactive,2.0,earthquake,safety,C,EC,Hashtag,20,Spatial,1
3,19315.0,hashtag,20,safety,9.0,h20s1,0.0,tsunami,2.0,safety,earthquake,C,RP,Hashtag,20,Spatial,1
3,19315.0,hashtag,21,earthquake,1.0,h20s1,1.0,safety,4.0,earthquake,earthquake,C,RP,Hashtag,20,Spatial,1
3,19315.0,hashtag,22,island,9.0,h20s1,0.0,earthquake,2.0,earthquake,tsunami,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,23,tsunami,2.0,h20s1,0.0,island,5.0,tsunami,earthquake,C,RP,Hashtag,20,Spatial,1
3,19315.0,hashtag,24,sea,8.0,h20s1,0.0,tsunami,5.0,earthquake,earthquake,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,25,sea,1.0,h20s1,0.0,sea,5.0,earthquake,water,C,RS,Hashtag,20,Spatial,1
3,19315.0,hashtag,26,sea,10.0,h20s1,0.0,sea,4.0,water,energy,C,RS,Hashtag,20,Spatial,1
3,19315.0,hashtag,27,power,6.0,h20s1,0.0,sea,2.0,energy,tsunami,C,EC,Hashtag,20,Spatial,1
3,19315.0,hashtag,28,catastrophe,5.0,h20s1,0.0,power,5.0,tsunami,sea,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,29,incident,6.0,h20s1,0.0,catastrophe,1.0,sea,earthquake,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,30,earthquake,7.0,h20s1,1.0,incident,5.0,earthquake,earthquake,C,RP,Hashtag,20,Spatial,1
3,19315.0,hashtag,31,tsuanmi,9.0,h20s1,0.0,earthquake,1.0,earthquake,nuclear,B,BN,Hashtag,20,Spatial,1
3,19315.0,hashtag,32,nuclear,4.0,h20s1,0.0,tsuanmi,5.0,nuclear,tsunami,C,RP,Hashtag,20,Spatial,1
3,19315.0,hashtag,33,tsunami,2.0,h20s1,1.0,nuclear,1.0,tsunami,tsunami,C,RP,Hashtag,20,Spatial,1
3,19315.0,hashtag,34,nuclear,4.0,h20s1,0.0,tsunami,2.0,tsunami,earthquake,C,EC,Hashtag,20,Spatial,1
3,19315.0,hashtag,35,incident,4.0,h20s1,0.0,nuclear,2.0,earthquake,earthquake,C,EC,Hashtag,20,Spatial,1
3,19315.0,hashtag,36,incident,3.0,h20s1,0.0,incident,1.0,earthquake,earthquake,C,RS,Hashtag,20,Spatial,1
3,19315.0,hashtag,37,earthquake,6.0,h20s1,0.0,incident,5.0,earthquake,tsunami,C,RP,Hashtag,20,Spatial,1
3,19315.0,hashtag,38,earthquake,7.0,h20s1,0.0,earthquake,1.0,tsunami,radiation,C,RS,Hashtag,20,Spatial,1
3,19315.0,hashtag,39,radiation,2.0,h20s1,0.0,earthquake,5.0,radiation,earthquake,C,RP,Hashtag,20,Spatial,1
3,19315.0,hashtag,40,nuclear,8.0,h20s1,0.0,radiation,2.0,earthquake,earthquake,C,EC,Hashtag,20,Spatial,1
