id,random ID,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,old_decisiontype,BC,DecisionType,Identifier,Content,Size,Structure,Run
3,19315.0,hashtag,20,safety,9.0,0.0,tsunami,2.0,safety,earthquake,RP,C,RP,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,21,earthquake,1.0,1.0,safety,4.0,earthquake,earthquake,RP,C,RP,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,22,island,9.0,0.0,earthquake,2.0,earthquake,tsunami,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,23,tsunami,2.0,0.0,island,5.0,tsunami,earthquake,RP,C,RP,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,24,sea,8.0,0.0,tsunami,5.0,earthquake,earthquake,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,25,sea,1.0,0.0,sea,5.0,earthquake,water,RS,C,RS,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,26,sea,10.0,0.0,sea,4.0,water,energy,RS,C,RS,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,27,power,6.0,0.0,sea,2.0,energy,tsunami,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,28,catastrophe,5.0,0.0,power,5.0,tsunami,sea,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,29,incident,6.0,0.0,catastrophe,1.0,sea,earthquake,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,30,earthquake,7.0,1.0,incident,5.0,earthquake,earthquake,RP,C,RP,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,31,tsuanmi,9.0,0.0,earthquake,1.0,earthquake,nuclear,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,32,nuclear,4.0,0.0,tsuanmi,5.0,nuclear,tsunami,RP,C,RP,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,33,tsunami,2.0,1.0,nuclear,1.0,tsunami,tsunami,RP,C,RP,h20s1,Hashtag,20,Spatial,1
3,19315.0,hashtag,34,nuclear,4.0,0.0,tsunami,2.0,tsunami,earthquake,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
